YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2018,6,18,4.03
2018,6,19,3.93
2018,6,20,2.99
2018,6,21,2.99
2018,6,22,3.73
2018,6,23,3.05
2018,6,24,3.84
2018,6,25,2.43
2018,6,26,2.68
2018,6,27,0.72
2018,6,28,2
2018,6,29,3.67
2018,6,30,2.59
2018,7,1,1.88
2018,7,2,3.29
2018,7,3,3.66
2018,7,4,3.49
2018,7,5,2.9
2018,7,6,2.77
2018,7,7,2
2018,7,8,4.28
2018,7,9,3.95
2018,7,10,3.34
2018,7,11,2.33
2018,7,12,3.04
2018,7,13,4.24
2018,7,14,4.31
2018,7,15,4.33
2018,7,16,4.17
2018,7,17,4.45
2018,7,18,4.39
2018,7,19,4.34
2018,7,20,3.3
2018,7,21,4.37
2018,7,22,3.73
2018,7,23,3.65
2018,7,24,4.25
2018,7,25,2.9
2018,7,26,4.09
2018,7,27,4.21
2018,7,28,4.17
2018,7,29,4.42
2018,7,30,4.63
2018,7,31,4.69
2018,8,1,4.71
2018,8,2,4.51
2018,8,3,4.34
2018,8,4,4.51
2018,8,5,4.53
2018,8,6,4.43
2018,8,7,3.28
2018,8,8,4.88
2018,8,9,4.91
2018,8,10,4.56
2018,8,11,4.07
2018,8,12,4.9
2018,8,13,5.21
2018,8,14,5.04
2018,8,15,4.99
2018,8,16,4.96
2018,8,17,5.25
2018,8,18,5.32
2018,8,19,5.5
2018,8,20,5.56
2018,8,21,5.62
2018,8,22,5.63
2018,8,23,5.02
2018,8,24,4.09
2018,8,25,4.51
2018,8,26,1.93
2018,8,27,5.2
2018,8,28,5.02
2018,8,29,5.76
2018,8,30,5.58
2018,8,31,5.38
2018,9,1,5.25
2018,9,2,5.86
2018,9,3,3.01
2018,9,4,3.85
2018,9,5,3.65
2018,9,6,4.26
2018,9,7,5.27
2018,9,8,3.11
2018,9,9,6
2018,9,10,5.84
2018,9,11,4.64
2018,9,12,5.38
2018,9,13,5.83
2018,9,14,5.9
2018,9,15,6.28
2018,9,16,5.8
2018,9,17,5.78
2018,9,18,5.77
2018,9,19,6.23
2018,9,20,5.97
2018,9,21,6.02
2018,9,22,5.96
2018,9,23,6.47
2018,9,24,5.44
2018,9,25,2.9
2018,9,26,5.46
2018,9,27,4.25
2018,9,28,5.99
2018,9,29,5.98
2018,9,30,1.81
2018,10,1,6.31
2018,10,2,6.34
2018,10,3,6.69
2018,10,4,6.6
2018,10,5,4.74
2018,10,6,3.58
2018,10,7,5.91
2018,10,8,6.4
2018,10,9,5.66
2018,10,10,6.93
2018,10,11,3.6
2018,10,12,2.41
2018,10,13,2.09
2018,10,14,2.65
2018,10,15,3.44
2018,10,16,5.78
2018,10,17,5.91
2018,10,18,5.33
2018,10,19,6.44
2018,10,20,7.16
2018,10,21,4.94
2018,10,22,7.1
2018,10,23,7.53
2018,10,24,7.54
2018,10,25,6.19
2018,10,26,7.38
2018,10,27,7.43
2018,10,28,6.21
2018,10,29,1.73
2018,10,30,7.05
2018,10,31,7.51
2018,11,1,7.91
2018,11,2,7.57
2018,11,3,7.71
2018,11,4,7.58
2018,11,5,7.25
2018,11,6,6.86
2018,11,7,7.66
2018,11,8,2.42
2018,11,9,7.01
2018,11,10,7.61
2018,11,11,7.72
2018,11,12,7.64
2018,11,13,7.57
2018,11,14,6.61
2018,11,15,7.51
2018,11,16,7.78
2018,11,17,6.37
2018,11,18,5.78
2018,11,19,7.38
2018,11,20,8.02
2018,11,21,7.51
2018,11,22,4.34
2018,11,23,8.41
2018,11,24,8.91
2018,11,25,7.09
2018,11,26,8.35
2018,11,27,4.57
2018,11,28,7.1
2018,11,29,8.36
2018,11,30,7.63
2018,12,1,8.04
2018,12,2,7.17
2018,12,3,7.53
2018,12,4,4.1
2018,12,5,5.59
2018,12,6,6.71
2018,12,7,4.35
2018,12,8,3.45
2018,12,9,5.86
2018,12,10,7.64
2018,12,11,7.67
2018,12,12,7.78
2018,12,13,6.42
2018,12,14,4.52
2018,12,15,6.05
2018,12,16,1.87
2018,12,17,4.98
2018,12,18,7.03
2018,12,19,7.57
2018,12,20,8.41
2018,12,21,7.63
2018,12,22,5.29
2018,12,23,8.19
2018,12,24,7.73
2018,12,25,7.7
2018,12,26,8.62
2018,12,27,8.37
2018,12,28,8.13
2018,12,29,8.18
2018,12,30,8.23
2018,12,31,8.19
2019,1,1,8.33
2019,1,2,8
2019,1,3,4.78
2019,1,4,7.89
2019,1,5,7.34
2019,1,6,7
2019,1,7,4.66
2019,1,8,5.62
2019,1,9,5.78
2019,1,10,5.33
2019,1,11,8.08
2019,1,12,8.13
2019,1,13,7.9
2019,1,14,7.87
2019,1,15,8.06
2019,1,16,8.3
2019,1,17,8.24
2019,1,18,7.91
2019,1,19,7.23
2019,1,20,7.75
2019,1,21,7.37
2019,1,22,7.33
2019,1,23,7.49
2019,1,24,7.24
2019,1,25,6.88
2019,1,26,7.81
2019,1,27,8.27
2019,1,28,8
2019,1,29,7.37
2019,1,30,6.69
2019,1,31,7.06
2019,2,1,6.91
2019,2,2,6.01
2019,2,3,6.08
2019,2,4,6.73
2019,2,5,6.39
2019,2,6,6.36
2019,2,7,5.32
2019,2,8,5.11
2019,2,9,7.72
2019,2,10,7.33
2019,2,11,7.23
2019,2,12,7.26
2019,2,13,7.66
2019,2,14,4.7
2019,2,15,6.21
2019,2,16,6.68
2019,2,17,7.47
2019,2,18,7.27
2019,2,19,7.57
2019,2,20,7.31
2019,2,21,6.61
2019,2,22,6.02
2019,2,23,6.71
2019,2,24,5.86
2019,2,25,5.35
2019,2,26,4.91
2019,2,27,4.92
2019,2,28,5.3
2019,3,1,4.62
2019,3,2,4.59
2019,3,3,5.47
2019,3,4,5.94
2019,3,5,6.36
2019,3,6,5.96
2019,3,7,5.38
2019,3,8,5.64
2019,3,9,6.64
2019,3,10,6.49
2019,3,11,5.47
2019,3,12,6.04
2019,3,13,6.57
2019,3,14,5.35
2019,3,15,5.62
2019,3,16,2.36
2019,3,17,3.97
2019,3,18,5.24
2019,3,19,6.55
2019,3,20,5.89
2019,3,21,6.05
2019,3,22,4.64
2019,3,23,6.02
2019,3,24,6.28
2019,3,25,5.68
2019,3,26,3.79
2019,3,27,1.34
2019,3,28,3.51
2019,3,29,5.08
2019,3,30,2.28
2019,3,31,6.63
2019,4,1,5.06
2019,4,2,4.81
2019,4,3,4.22
2019,4,4,4.73
2019,4,5,5.45
2019,4,6,5.18
2019,4,7,5.65
2019,4,8,5.86
2019,4,9,5.32
2019,4,10,4.35
2019,4,11,4.11
2019,4,12,4.4
2019,4,13,5.11
2019,4,14,4.52
2019,4,15,4.26
2019,4,16,3.95
2019,4,17,4.76
2019,4,18,4.95
2019,4,19,4.08
2019,4,20,3.71
2019,4,21,4.33
2019,4,22,3.49
2019,4,23,3.39
2019,4,24,4.04
2019,4,25,3.99
2019,4,26,2.76
2019,4,27,4.64
2019,4,28,4.9
2019,4,29,3.13
2019,4,30,2.99
2019,5,1,4.14
2019,5,2,3.67
2019,5,3,2.89
2019,5,4,1.56
2019,5,5,4.76
2019,5,6,4.84
2019,5,7,4.9
2019,5,8,4.81
2019,5,9,4.81
2019,5,10,3.36
2019,5,11,4.83
2019,5,12,3.11
2019,5,13,2.52
2019,5,14,3.02
2019,5,15,2.66
2019,5,16,3.69
2019,5,17,3.05
2019,5,18,2.83
2019,5,19,3.58
2019,5,20,2.28
2019,5,21,3.88
2019,5,22,3.19
2019,5,23,3.21
2019,5,24,3.59
2019,5,25,3.45
2019,5,26,3.69
2019,5,27,4.03
2019,5,28,4.49
2019,5,29,4.41
2019,5,30,4.21
2019,5,31,4.04
2019,6,1,3.5
2019,6,2,2.71
2019,6,3,3.77
2019,6,4,4.04
2019,6,5,3.66
2019,6,6,3.43
2019,6,7,2.69
2019,6,8,1.07
2019,6,9,3.45
2019,6,10,3.74
2019,6,11,3.89
2019,6,12,3.43
2019,6,13,3.17
2019,6,14,3.64
2019,6,15,3.52
2019,6,16,2.37
2019,6,17,3.89
2019,6,18,3.9
2019,6,19,3.8
2019,6,20,1.6
2019,6,21,3.15
2019,6,22,3.89
2019,6,23,3.04
2019,6,24,3.38
2019,6,25,2.36
2019,6,26,1.09
2019,6,27,3.34
2019,6,28,3.32
2019,6,29,3.08
2019,6,30,3.72
2019,7,1,2.89
2019,7,2,3.03
2019,7,3,2.97
2019,7,4,3.18
2019,7,5,2.53
2019,7,6,2.44
2019,7,7,2.99
2019,7,8,2.34
2019,7,9,3.87
2019,7,10,4.02
2019,7,11,4.11
2019,7,12,4.21
2019,7,13,3.92
2019,7,14,4.31
2019,7,15,4.27
2019,7,16,4.31
2019,7,17,4.26
2019,7,18,4.42
2019,7,19,4.21
2019,7,20,3.56
2019,7,21,4.29
2019,7,22,3.33
2019,7,23,4.31
2019,7,24,4.42
2019,7,25,3.68
2019,7,26,3.29
2019,7,27,4.08
2019,7,28,3.57
2019,7,29,3.98
2019,7,30,4.17
2019,7,31,3.66
2019,8,1,3.01
2019,8,2,3.49
2019,8,3,4.06
2019,8,4,4.5
2019,8,5,4.18
2019,8,6,4.45
2019,8,7,2.91
2019,8,8,4.44
2019,8,9,5.01
2019,8,10,4.88
2019,8,11,5.04
2019,8,12,5.04
2019,8,13,4.36
2019,8,14,4.29
2019,8,15,4.77
2019,8,16,4.57
2019,8,17,4.96
2019,8,18,4.54
2019,8,19,5.04
2019,8,20,5.52
2019,8,21,5.57
2019,8,22,5.49
2019,8,23,4.82
2019,8,24,5.03
2019,8,25,5.33
2019,8,26,5.09
2019,8,27,4.09
2019,8,28,2.73
2019,8,29,2.14
2019,8,30,4.88
2019,8,31,5.32
2019,9,1,5.74
2019,9,2,5.88
2019,9,3,5.91
2019,9,4,5.95
2019,9,5,5.95
2019,9,6,5.93
2019,9,7,6.1
2019,9,8,6.41
2019,9,9,6.35
2019,9,10,5.51
2019,9,11,4.99
2019,9,12,6.12
2019,9,13,6.27
2019,9,14,6.03
2019,9,15,5.9
2019,9,16,5.91
2019,9,17,5.9
2019,9,18,6.23
2019,9,19,5.89
2019,9,20,5.9
2019,9,21,6.01
2019,9,22,5.95
2019,9,23,6.26
2019,9,24,5.77
2019,9,25,5.21
2019,9,26,4.56
2019,9,27,6.06
2019,9,28,5.92
2019,9,29,6.57
2019,9,30,5.75
2019,10,1,4.15
2019,10,2,6.3
2019,10,3,7.35
2019,10,4,7.18
2019,10,5,6.23
2019,10,6,6.2
2019,10,7,6.94
2019,10,8,5.6
2019,10,9,6.52
2019,10,10,6.17
2019,10,11,4.83
2019,10,12,3.76
2019,10,13,6.82
2019,10,14,6.41
2019,10,15,5.02
2019,10,16,6.68
2019,10,17,6.64
2019,10,18,6.96
2019,10,19,4.16
2019,10,20,7.34
2019,10,21,7.14
2019,10,22,6.62
2019,10,23,7.62
2019,10,24,7.74
2019,10,25,7.79
2019,10,26,7.27
2019,10,27,7.32
2019,10,28,5.64
2019,10,29,7.34
2019,10,30,4.62
2019,10,31,6.82
2019,11,1,4.84
2019,11,2,5.84
2019,11,3,7.21
2019,11,4,6.14
2019,11,5,7.47
2019,11,6,8.15
2019,11,7,8.25
2019,11,8,8.42
2019,11,9,7.58
2019,11,10,8.44
2019,11,11,7.05
2019,11,12,8.08
2019,11,13,7.66
2019,11,14,7.95
2019,11,15,7.52
2019,11,16,7.74
2019,11,17,6.08
2019,11,18,7.35
2019,11,19,7.07
2019,11,20,7.27
2019,11,21,7.05
2019,11,22,8.16
2019,11,23,8.29
2019,11,24,8.08
2019,11,25,7.79
2019,11,26,7.97
2019,11,27,6.71
2019,11,28,4.59
2019,11,29,7.05
2019,11,30,7.69
2019,12,1,6
2019,12,2,8.27
2019,12,3,8.46
2019,12,4,8.6
2019,12,5,8.77
2019,12,6,8.47
2019,12,7,7.9
2019,12,8,5.99
2019,12,9,6.81
2019,12,10,7.3
2019,12,11,6.55
2019,12,12,7.04
2019,12,13,4.38
2019,12,14,7.23
2019,12,15,7.79
2019,12,16,7.98
2019,12,17,7.9
2019,12,18,8.1
2019,12,19,8.17
2019,12,20,7.69
2019,12,21,7.85
2019,12,22,7.12
2019,12,23,5.62
2019,12,24,4.71
2019,12,25,3.94
2019,12,26,7.47
2019,12,27,6.39
2019,12,28,6.87
2019,12,29,8.02
2019,12,30,7.36
2019,12,31,7.41
2020,1,1,8.41
2020,1,2,7.77
2020,1,3,7.95
2020,1,4,8.36
2020,1,5,7.15
2020,1,6,5.99
2020,1,7,6.34
2020,1,8,7.79
2020,1,9,7.84
2020,1,10,7.37
2020,1,11,5.72
2020,1,12,3.48
2020,1,13,4.39
2020,1,14,3.97
2020,1,15,6.44
2020,1,16,5.37
2020,1,17,6.48
2020,1,18,4.94
2020,1,19,6.81
2020,1,20,6.93
2020,1,21,7.06
2020,1,22,7.74
2020,1,23,4.69
2020,1,24,6.3
2020,1,25,4.83
2020,1,26,6.4
2020,1,27,7.12
2020,1,28,6.55
2020,1,29,7.76
2020,1,30,7.35
2020,1,31,7.18
2020,2,1,7.66
2020,2,2,8.15
2020,2,3,7.74
2020,2,4,2.47
2020,2,5,2.3
2020,2,6,2.39
2020,2,7,5.51
2020,2,8,3.36
2020,2,9,4.07
2020,2,10,5.89
2020,2,11,4.8
2020,2,12,2.67
2020,2,13,2.71
2020,2,14,7.04
2020,2,15,7.19
2020,2,16,7.49
2020,2,17,7.24
2020,2,18,7.07
2020,2,19,6.8
2020,2,20,7.2
2020,2,21,6.83
2020,2,22,5.09
2020,2,23,3.3
2020,2,24,3.14
2020,2,25,4.6
2020,2,26,6.21
2020,2,27,3.81
2020,2,28,6.81
2020,2,29,6.36
2020,3,1,7.25
2020,3,2,7.45
2020,3,3,6.82
2020,3,4,5.42
2020,3,5,5.61
2020,3,6,3.74
2020,3,7,4.75
2020,3,8,4.2
2020,3,9,1.09
2020,3,10,4.48
2020,3,11,5.77
2020,3,12,4.19
2020,3,13,4.47
2020,3,14,4.36
2020,3,15,4.95
2020,3,16,5.73
2020,3,17,5.56
2020,3,18,6
2020,3,19,6.12
2020,3,20,6.69
2020,3,21,6.69
2020,3,22,6.41
2020,3,23,3.25
2020,3,24,2.96
2020,3,25,5.32
2020,3,26,5.35
2020,3,27,3.93
2020,3,28,4.94
2020,3,29,5.17
2020,3,30,5.69
2020,3,31,4.6
2020,4,1,5.17
2020,4,2,5.4
2020,4,3,5.53
2020,4,4,4.35
2020,4,5,5.8
2020,4,6,5.49
2020,4,7,5.38
2020,4,8,3.48
2020,4,9,4.35
2020,4,10,2.88
2020,4,11,5.38
2020,4,12,5.68
2020,4,13,5.59
2020,4,14,5.37
2020,4,15,5.16
2020,4,16,5.46
2020,4,17,5.36
2020,4,18,1.93
2020,4,19,2.59
2020,4,20,5.24
2020,4,21,4.98
2020,4,22,5.15
2020,4,23,4.84
2020,4,24,4.75
2020,4,25,4.79
2020,4,26,4.89
2020,4,27,4.42
2020,4,28,3.35
2020,4,29,4.37
2020,4,30,3.77
2020,5,1,4.57
2020,5,2,5.22
2020,5,3,5.12
2020,5,4,4.03
2020,5,5,4.18
2020,5,6,3.85
2020,5,7,3.49
2020,5,8,4.05
2020,5,9,4.25
2020,5,10,3.13
2020,5,11,4.46
2020,5,12,3.24
2020,5,13,2.65
2020,5,14,3.57
2020,5,15,4.47
2020,5,16,3.46
2020,5,17,3.86
2020,5,18,3.5
2020,5,19,3.74
2020,5,20,1.77
2020,5,21,1.82
2020,5,22,3.1
2020,5,23,1.4
2020,5,24,4.22
2020,5,25,4.19
2020,5,26,4.28
2020,5,27,3.36
2020,5,28,2.69
2020,5,29,3.35
2020,5,30,3.69
2020,5,31,2.25
2020,6,1,2.83
2020,6,2,4.08
2020,6,3,4.1
2020,6,4,2.95
2020,6,5,3.41
2020,6,6,3.74
2020,6,7,2.31
2020,6,8,3.3
2020,6,9,3.09
2020,6,10,2.78
2020,6,11,2.9
2020,6,12,3.73
2020,6,13,3.19
2020,6,14,1.79
2020,6,15,3.41
2020,6,16,2.71
2020,6,17,3.56
2020,6,18,2.91
2020,6,19,2.86
2020,6,20,2.51
2020,6,21,3.15
2020,6,22,4.03
2020,6,23,3.91
2020,6,24,4.04
2020,6,25,3.92
2020,6,26,3.43
2020,6,27,3.63
2020,6,28,1.48
2020,6,29,3.87
2020,6,30,2.91
2020,7,1,3.07
2020,7,2,3.24
2020,7,3,3.81
2020,7,4,4.15
2020,7,5,3.96
2020,7,6,3.89
2020,7,7,3.65
2020,7,8,3.21
2020,7,9,2.36
2020,7,10,3.12
2020,7,11,3.42
2020,7,12,2.44
2020,7,13,2.82
2020,7,14,4.18
2020,7,15,4.29
2020,7,16,4.35
2020,7,17,3.64
2020,7,18,4.13
2020,7,19,4.13
2020,7,20,4.35
2020,7,21,3.09
2020,7,22,1.32
2020,7,23,1.15
2020,7,24,2.32
2020,7,25,2.15
2020,7,26,2.78
2020,7,27,3.75
2020,7,28,4.54
2020,7,29,4.32
2020,7,30,4.36
2020,7,31,4.11
2020,8,1,3.74
2020,8,2,3.88
2020,8,3,2.96
2020,8,4,3.91
2020,8,5,4.52
2020,8,6,4.76
2020,8,7,2.56
2020,8,8,3.53
2020,8,9,4.48
2020,8,10,4.25
2020,8,11,4.41
2020,8,12,4.12
2020,8,13,4.82
2020,8,14,4.39
2020,8,15,3.36
2020,8,16,5.09
2020,8,17,5.37
2020,8,18,4.67
2020,8,19,5.06
2020,8,20,5.06
2020,8,21,5.2
2020,8,22,4.45
2020,8,23,5.73
2020,8,24,5.8
2020,8,25,5.43
2020,8,26,4.13
2020,8,27,5.15
2020,8,28,5.73
2020,8,29,5.11
2020,8,30,4.62
2020,8,31,5.75
2020,9,1,5.31
2020,9,2,5.09
2020,9,3,4.88
2020,9,4,5
2020,9,5,5.37
2020,9,6,3.55
2020,9,7,3.8
2020,9,8,5.3
2020,9,9,5.03
2020,9,10,2.41
2020,9,11,4.59
2020,9,12,5.77
2020,9,13,4.49
2020,9,14,6.2
2020,9,15,6.04
2020,9,16,5.38
2020,9,17,6.27
2020,9,18,5.85
2020,9,19,5.75
2020,9,20,5.47
2020,9,21,6.12
2020,9,22,4.38
2020,9,23,3.57
2020,9,24,6.79
2020,9,25,6.34
2020,9,26,7.06
2020,9,27,7.32
2020,9,28,6.22
2020,9,29,6.53
2020,9,30,4.97
2020,10,1,6.53
2020,10,2,6.72
2020,10,3,6.47
2020,10,4,6.79
2020,10,5,6.12
2020,10,6,6.38
2020,10,7,6.15
2020,10,8,6.51
2020,10,9,6.58
2020,10,10,7.06
2020,10,11,7
2020,10,12,5.55
2020,10,13,6.24
2020,10,14,5.11
2020,10,15,7.02
2020,10,16,7.37
2020,10,17,6.94
2020,10,18,6.68
2020,10,19,6.78
2020,10,20,6.37
2020,10,21,6.52
2020,10,22,4.15
2020,10,23,6.14
2020,10,24,2.97
2020,10,25,5.04
2020,10,26,6.26
2020,10,27,3.14
2020,10,28,5.88
2020,10,29,7.64
2020,10,30,7.93
2020,10,31,5.96
2020,11,1,8.05
2020,11,2,7.48
2020,11,3,7.49
2020,11,4,7.93
2020,11,5,7.4
2020,11,6,8.26
2020,11,7,6.5
2020,11,8,3.56
2020,11,9,6.7
2020,11,10,7.79
2020,11,11,8.2
2020,11,12,7.39
2020,11,13,4.81
2020,11,14,7.91
2020,11,15,7.65
2020,11,16,7.56
2020,11,17,6.35
2020,11,18,5.68
2020,11,19,7.69
2020,11,20,8.45
2020,11,21,8.28
2020,11,22,8.36
2020,11,23,8.44
2020,11,24,7.05
2020,11,25,3.61
2020,11,26,8.19
2020,11,27,8.04
2020,11,28,8.59
2020,11,29,8.65
2020,11,30,6.8
2020,12,1,7.31
2020,12,2,7.96
2020,12,3,6.17
2020,12,4,6.72
2020,12,5,8.2
2020,12,6,6.74
2020,12,7,4.25
2020,12,8,4.48
2020,12,9,7.68
2020,12,10,7.54
2020,12,11,3.51
2020,12,12,3.21
2020,12,13,1.54
2020,12,14,3.35
2020,12,15,7.6
2020,12,16,6.3
2020,12,17,5.86
2020,12,18,7.06
2020,12,19,6.69
2020,12,20,7.92
2020,12,21,7.19
2020,12,22,7.29
2020,12,23,8.04
2020,12,24,6.25
2020,12,25,6.98
2020,12,26,7.26
2020,12,27,8.08
2020,12,28,8.5
2020,12,29,6.12
2020,12,30,2.36
2020,12,31,6.27
