YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2019,6,18,7.5,0.75
2019,6,19,7.76,0.77
2019,6,20,8.73,0.88
2019,6,21,7.8,0.78
2019,6,22,7.86,0.78
2019,6,23,7.72,0.77
2019,6,24,6.71,0.67
2019,6,25,8.27,0.83
2019,6,26,7.98,0.8
2019,6,27,7.74,0.77
2019,6,28,8.17,0.82
2019,6,29,8.5,0.85
2019,6,30,8.03,0.8
2019,7,1,8.2,0.82
2019,7,2,7.83,0.79
2019,7,3,7.47,0.75
2019,7,4,8.12,0.82
2019,7,5,7.98,0.8
2019,7,6,7.18,0.73
2019,7,7,4.36,0.44
2019,7,8,5.89,0.59
2019,7,9,8.04,0.81
2019,7,10,8.15,0.83
2019,7,11,8.05,0.82
2019,7,12,7.74,0.79
2019,7,13,7.86,0.8
2019,7,14,7.56,0.77
2019,7,15,7.7,0.79
2019,7,16,7.79,0.8
2019,7,17,8.13,0.84
2019,7,18,8.16,0.84
2019,7,19,8.17,0.84
2019,7,20,8.26,0.85
2019,7,21,7.99,0.83
2019,7,22,7.29,0.76
2019,7,23,7.85,0.81
2019,7,24,8.42,0.88
2019,7,25,8.08,0.84
2019,7,26,7.93,0.83
2019,7,27,8.01,0.84
2019,7,28,7.26,0.77
2019,7,29,6.49,0.69
2019,7,30,7.35,0.78
2019,7,31,7.68,0.81
2019,8,1,7.29,0.77
2019,8,2,7.15,0.77
2019,8,3,4.92,0.53
2019,8,4,7.38,0.8
2019,8,5,7.5,0.81
2019,8,6,7.03,0.77
2019,8,7,7.5,0.81
2019,8,8,7.43,0.81
2019,8,9,7.17,0.79
2019,8,10,7.57,0.84
2019,8,11,7.68,0.85
2019,8,12,7.64,0.84
2019,8,13,7.04,0.78
2019,8,14,7.35,0.82
2019,8,15,6.9,0.77
2019,8,16,7.48,0.84
2019,8,17,7.41,0.84
2019,8,18,7.45,0.85
2019,8,19,7.41,0.84
2019,8,20,7.42,0.85
2019,8,21,7.19,0.83
2019,8,22,6.63,0.77
2019,8,23,5.93,0.7
2019,8,24,6.76,0.79
2019,8,25,7.1,0.84
2019,8,26,7.32,0.87
2019,8,27,4.29,0.52
2019,8,28,3.35,0.4
2019,8,29,6.92,0.84
2019,8,30,6.61,0.8
2019,8,31,6.04,0.73
2019,9,1,6.4,0.79
2019,9,2,6.72,0.83
2019,9,3,6.61,0.82
2019,9,4,6.2,0.77
2019,9,5,6.35,0.8
2019,9,6,6.66,0.84
2019,9,7,6.43,0.82
2019,9,8,6.53,0.84
2019,9,9,5.93,0.77
2019,9,10,5.72,0.74
2019,9,11,4.51,0.59
2019,9,12,6.37,0.84
2019,9,13,3.91,0.52
2019,9,14,5.85,0.78
2019,9,15,6.1,0.82
2019,9,16,5.49,0.75
2019,9,17,6.05,0.83
2019,9,18,6.22,0.86
2019,9,19,6.25,0.87
2019,9,20,4.54,0.63
2019,9,21,3.46,0.49
2019,9,22,3.89,0.55
2019,9,23,4.44,0.64
2019,9,24,5.62,0.81
2019,9,25,5.92,0.87
2019,9,26,6.08,0.9
2019,9,27,6.08,0.91
2019,9,28,5.34,0.8
2019,9,29,4.44,0.67
2019,9,30,4.06,0.62
2019,10,1,4.57,0.7
2019,10,2,5.13,0.8
2019,10,3,4.95,0.77
2019,10,4,4.96,0.78
2019,10,5,5.5,0.88
2019,10,6,5.38,0.87
2019,10,7,5.96,0.97
2019,10,8,5.74,0.95
2019,10,9,4.85,0.8
2019,10,10,5.22,0.88
2019,10,11,5.84,0.99
2019,10,12,5.63,0.96
2019,10,13,5.64,0.98
2019,10,14,2.76,0.48
2019,10,15,4.15,0.73
2019,10,16,5.5,0.98
2019,10,17,5.46,0.98
2019,10,18,5.09,0.92
2019,10,19,5.44,1
2019,10,20,5.28,0.98
2019,10,21,5.44,1.02
2019,10,22,5.3,1.01
2019,10,23,5.26,1.01
2019,10,24,1.04,0.2
2019,10,25,4.87,0.95
2019,10,26,5.3,1.05
2019,10,27,5.32,1.06
2019,10,28,1.97,0.4
2019,10,29,1.43,0.29
2019,10,30,1.74,0.36
2019,10,31,4.73,0.98
2019,11,1,4.99,1.05
2019,11,2,4.92,1.05
2019,11,3,4.45,0.96
2019,11,4,4.69,1.02
2019,11,5,3.92,0.86
2019,11,6,1.26,0.28
2019,11,7,0.9,0.2
2019,11,8,3.08,0.7
2019,11,9,4.53,1.04
2019,11,10,3.77,0.88
2019,11,11,0.9,0.21
2019,11,12,3.92,0.93
2019,11,13,3.2,0.77
2019,11,14,4.46,1.07
2019,11,15,4.47,1.09
2019,11,16,3.5,0.86
2019,11,17,4.2,1.04
2019,11,18,4.26,1.06
2019,11,19,4.06,1.02
2019,11,20,2.2,0.56
2019,11,21,1.56,0.4
2019,11,22,1.53,0.4
2019,11,23,3.69,0.97
2019,11,24,3.83,1.01
2019,11,25,3.09,0.82
2019,11,26,2.46,0.66
2019,11,27,1.79,0.48
2019,11,28,1.05,0.28
2019,11,29,1.24,0.34
2019,11,30,3.93,1.09
2019,12,1,3.98,1.1
2019,12,2,4.02,1.12
2019,12,3,3.99,1.12
2019,12,4,2.49,0.7
2019,12,5,3.4,0.97
2019,12,6,3.68,1.05
2019,12,7,3.41,0.98
2019,12,8,2.7,0.78
2019,12,9,0.88,0.26
2019,12,10,3.61,1.05
2019,12,11,1.57,0.46
2019,12,12,3.73,1.09
2019,12,13,3.57,1.05
2019,12,14,3.68,1.09
2019,12,15,3.71,1.09
2019,12,16,2.35,0.7
2019,12,17,3.92,1.16
2019,12,18,3.99,1.19
2019,12,19,3.76,1.12
2019,12,20,3.8,1.13
2019,12,21,3.95,1.17
2019,12,22,3.88,1.16
2019,12,23,3.31,0.98
2019,12,24,3.44,1.02
2019,12,25,3.32,0.98
2019,12,26,2.19,0.65
2019,12,27,1,0.3
2019,12,28,2.4,0.7
2019,12,29,3.65,1.08
2019,12,30,3.85,1.13
2019,12,31,3.82,1.12
