YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2020,7,3,6,0.6
2020,7,4,5.95,0.59
2020,7,5,7.26,0.73
2020,7,6,6.9,0.7
2020,7,7,6.84,0.69
2020,7,8,8.49,0.86
2020,7,9,8.96,0.91
2020,7,10,9.12,0.92
2020,7,11,8.99,0.91
2020,7,12,6.7,0.68
2020,7,13,6.23,0.63
2020,7,14,5.64,0.58
2020,7,15,5.39,0.55
2020,7,16,4.21,0.43
2020,7,17,6.05,0.62
2020,7,18,6.18,0.64
2020,7,19,5.82,0.6
2020,7,20,7.53,0.78
2020,7,21,6.61,0.69
2020,7,22,4.24,0.45
2020,7,23,6.58,0.69
2020,7,24,4.52,0.48
2020,7,25,3.54,0.38
2020,7,26,4.98,0.53
2020,7,27,6.17,0.66
2020,7,28,6.35,0.68
2020,7,29,7.31,0.78
2020,7,30,8.16,0.88
2020,7,31,7.24,0.78
2020,8,1,6.5,0.7
2020,8,2,6.42,0.7
2020,8,3,6.54,0.72
2020,8,4,7.18,0.79
2020,8,5,6.33,0.7
2020,8,6,6.89,0.77
2020,8,7,8.12,0.91
2020,8,8,6.94,0.78
2020,8,9,7.42,0.84
2020,8,10,6.74,0.77
2020,8,11,7.18,0.82
2020,8,12,7.17,0.82
2020,8,13,7.38,0.85
2020,8,14,7.26,0.84
2020,8,15,7.7,0.9
2020,8,16,6.94,0.81
2020,8,17,6.27,0.74
2020,8,18,6.02,0.71
2020,8,19,6.4,0.77
2020,8,20,5.26,0.63
2020,8,21,6.56,0.79
2020,8,22,5.19,0.63
2020,8,23,4.85,0.59
2020,8,24,4.61,0.57
2020,8,25,4.65,0.58
2020,8,26,4.76,0.59
2020,8,27,6.1,0.77
2020,8,28,2.69,0.34
2020,8,29,4.21,0.54
2020,8,30,5.7,0.73
2020,8,31,5.51,0.71
2020,9,1,6.94,0.91
2020,9,2,7.45,0.98
2020,9,3,7.42,0.98
2020,9,4,7.16,0.96
2020,9,5,6.84,0.92
2020,9,6,6.91,0.94
2020,9,7,5.47,0.75
2020,9,8,1.55,0.22
2020,9,9,3.23,0.45
2020,9,10,2.76,0.39
2020,9,11,4.33,0.62
2020,9,12,6.63,0.95
2020,9,13,6.41,0.93
2020,9,14,6.29,0.92
2020,9,15,5.44,0.8
2020,9,16,5.65,0.84
2020,9,17,5.4,0.81
2020,9,18,4.71,0.72
2020,9,19,4.29,0.66
2020,9,20,4.85,0.75
2020,9,21,5.32,0.84
2020,9,22,4.42,0.7
2020,9,23,5.68,0.91
2020,9,24,6.08,0.98
2020,9,25,5.81,0.95
2020,9,26,5.2,0.86
2020,9,27,6.06,1.02
2020,9,28,6.19,1.05
2020,9,29,6.13,1.05
2020,9,30,5.92,1.02
2020,10,1,5.99,1.05
2020,10,2,4.24,0.75
2020,10,3,5.64,1.01
2020,10,4,5.75,1.04
2020,10,5,5.39,0.98
2020,10,6,5.5,1.02
2020,10,7,5.49,1.03
2020,10,8,5.49,1.05
2020,10,9,5.3,1.02
2020,10,10,5.13,1
2020,10,11,3.04,0.6
2020,10,12,5.5,1.1
2020,10,13,5.4,1.09
2020,10,14,5.3,1.09
2020,10,15,4.98,1.03
2020,10,16,5.24,1.1
2020,10,17,4.99,1.06
2020,10,18,4.96,1.07
2020,10,19,4.33,0.95
2020,10,20,4.78,1.06
2020,10,21,4.9,1.1
2020,10,22,4.67,1.06
2020,10,23,4.44,1.02
2020,10,24,4.61,1.08
2020,10,25,1.82,0.43
2020,10,26,1.36,0.33
2020,10,27,4.5,1.09
2020,10,28,4.45,1.09
2020,10,29,4.56,1.14
2020,10,30,4.43,1.12
2020,10,31,4.34,1.12
2020,11,1,4.4,1.15
2020,11,2,4.31,1.14
2020,11,3,3.64,0.98
2020,11,4,3.95,1.07
2020,11,5,4.17,1.15
2020,11,6,1.99,0.55
2020,11,7,1.99,0.56
2020,11,8,3.24,0.93
2020,11,9,1.43,0.41
2020,11,10,2.86,0.84
2020,11,11,3.2,0.95
2020,11,12,3.58,1.08
2020,11,13,3.09,0.95
2020,11,14,2.11,0.66
2020,11,15,2.91,0.91
2020,11,16,3.53,1.12
2020,11,17,3.57,1.15
2020,11,18,2.99,0.98
2020,11,19,3.61,1.19
2020,11,20,3.1,1.03
2020,11,21,2.7,0.91
2020,11,22,3.2,1.09
2020,11,23,2.19,0.75
2020,11,24,1.13,0.39
2020,11,25,3.26,1.15
2020,11,26,3.07,1.09
2020,11,27,3.27,1.17
2020,11,28,3.38,1.22
2020,11,29,3.33,1.21
2020,11,30,3.37,1.24
2020,12,1,2.67,0.99
2020,12,2,3.21,1.2
2020,12,3,3.35,1.27
2020,12,4,3.32,1.27
2020,12,5,3.29,1.26
2020,12,6,3.29,1.27
2020,12,7,3.27,1.27
2020,12,8,3.21,1.25
2020,12,9,3.2,1.26
2020,12,10,1.65,0.65
2020,12,11,1.81,0.72
