YEAR,MO,DY,mean_kilowatt_per_hour
2019,1,1,0.273333333
2019,1,2,0.2
2019,1,3,0.606666667
2019,1,4,0.766666667
2019,1,5,0.76
2019,1,6,0.453333333
2019,1,7,0.686666667
2019,1,8,0.68
2019,1,9,0.6
2019,1,10,0.573333333
2019,1,11,0.206666667
2019,1,12,0.586666667
2019,1,13,0.28
2019,1,14,0.34
2019,1,15,0.373333333
2019,1,16,0.646666667
2019,1,17,0.693333333
2019,1,18,0.56
2019,1,19,0.746666667
2019,1,20,0.646666667
2019,1,21,0.64
2019,1,22,0.486666667
2019,1,23,0.746666667
2019,1,24,0.74
2019,1,25,0.72
2019,1,26,0.693333333
2019,1,27,0.726666667
2019,1,28,0.713333333
2019,1,29,0.44
2019,1,30,0.693333333
2019,1,31,0.7
2019,2,1,0.533333333
2019,2,2,0.446666667
2019,2,3,0.566666667
2019,2,4,0.58
2019,2,5,0.393333333
2019,2,6,0.353333333
2019,2,7,0.733333333
2019,2,8,0.4
2019,2,9,0.186666667
2019,2,10,0.166666667
2019,2,11,0.153333333
2019,2,12,0.713333333
2019,2,13,0.446666667
2019,2,14,0.486666667
2019,2,15,0.533333333
2019,2,16,0.613333333
2019,2,17,0.613333333
2019,2,18,0.413333333
2019,2,19,0.126666667
2019,2,20,0.633333333
2019,2,21,0.406666667
2019,2,22,0.32
2019,2,23,0.686666667
2019,2,24,0.7
2019,2,25,0.666666667
2019,2,26,0.513333333
2019,2,27,0.366666667
2019,2,28,0.473333333
2019,3,1,0.386666667
2019,3,2,0.2
2019,3,3,0.32
2019,3,4,0.446666667
2019,3,5,0.673333333
2019,3,6,0.533333333
2019,3,7,0.306666667
2019,3,8,0.346666667
2019,3,9,0.666666667
2019,3,10,0.18
2019,3,11,0.18
2019,3,12,0.193333333
2019,3,13,0.633333333
2019,3,14,0.66
2019,3,15,0.633333333
2019,3,16,0.573333333
2019,3,17,0.633333333
2019,3,18,0.593333333
2019,3,19,0.633333333
2019,3,20,0.586666667
2019,3,21,0.493333333
2019,3,22,0.24
2019,3,23,0.553333333
2019,3,24,0.593333333
2019,3,25,0.633333333
2019,3,26,0.6
2019,3,27,0.533333333
2019,3,28,0.486666667
2019,3,29,0.606666667
2019,3,30,0.533333333
2019,3,31,0.6
2019,4,1,0.626666667
2019,4,2,0.613333333
2019,4,3,0.56
2019,4,4,0.633333333
2019,4,5,0.52
2019,4,6,0.526666667
2019,4,7,0.4
2019,4,8,0.62
